"ISO_code","countries","ECONOMIC.FREEDOM","rank","AVG.ECONOMIC.FREEDOM","AVG.RANK","life_satisfaction","subjective_health","happiness","financial_satisfaction","life_satisfaction_scaled","subjective_health_scaled","happiness_scaled","financial_satisfaction_scaled","avg_temperature","avg_temperature_scaled","ECONOMIC.FREEDOM_scaled"
"PER","Peru",7.53,35,7.576,26,7.14070351758794,2.64405360134003,3.1105527638191,6.03015075376884,0.367598321072524,-0.94616209549317,-0.106625455916054,0.156830466854263,67.06971522,0.276807356249911,0.560144602530544
"PHL","Philippines",7.4,47,7.296,50,7.335,2.69583333333333,3.38583333333333,6.325,0.615627999841814,-0.759275655157429,0.926489218690609,0.493677338168131,82.27141292,0.827234423697655,0.416379298207966
"POL","Poland",7.43,45,7.272,52,7.09062170706006,2.72813487881981,3.15595363540569,5.76185458377239,0.303666255894577,-0.642691025980673,0.0637618211765901,-0.149681171225175,47.91615553,-0.4167097692322,0.449555906897791
"QAT","Qatar",7.68,24,7.46,35,8.01135288552507,3.38126773888363,3.54115421002838,7.7445600756859,1.4790280308094,1.71463433250945,1.50940096313223,2.11543617340014,83.67031763,0.87788633326458,0.726027645979672
"ROU","Romania",7.74,21,7.496,33,6.63654891304348,2.66372282608696,2.77173913043478,5.79415760869565,-0.275981547501874,-0.875170777933016,-1.37817664902717,-0.112776980292146,52.99720701,-0.232733721235441,0.792380863359324
"RUS","Russia",6.59,103,6.592,100,6.14865442118753,2.37078171721486,2.90046988466467,4.88295600170867,-0.898804527033213,-1.93247097933602,-0.895056349244423,-1.15376797610803,43.02995619,-0.593630559709523,-0.479389136417327
"SGP","Singapore",8.84,2,8.728,2,6.97106598984772,3.09644670050761,3.30456852791878,6.41167512690355,0.151047094872802,0.686641564958805,0.621506331046277,0.592698263917098,81.98488499,0.816859745068717,2.0088565153196
"SWE","Sweden",7.62,28,7.538,28,7.63065326633166,3.07035175879397,3.36850921273032,7.09045226130653,0.993044944116771,0.592458173506284,0.861472631245982,1.36815879829399,44.95334064,-0.523988149810259,0.659674428600021
"THA","Thailand",6.62,102,6.61,99,7.56974789915966,3.06638655462185,3.31428571428571,6.1764705882353,0.915296039620609,0.578146726451512,0.657974461903749,0.323991750395569,82.98714499,0.853149838682417,-0.446212527727501
"TUN","Tunisia",6.48,109,6.538,102,5.58961474036851,2.9212730318258,2.91708542713568,4.95561139028476,-1.61244808213764,0.0543945037972379,-0.832699021287582,-1.07076372685599,67.33926616,0.286567327561009,-0.601036701613354
"TUR","Turkey",6.87,84,6.916,78,7.26005188067445,2.85408560311284,3.17833981841764,6.26913099870298,0.519952783646932,-0.188102297636575,0.147776084220606,0.429850489258445,56.49301752,-0.106156495102842,-0.169740788645621
"TWN","Taiwan",7.76,20,7.72,15,6.89557226399332,3.11862990810359,3.17209690893901,6.38178780284043,0.0546753832478192,0.766706496607686,0.124346746632449,0.558553860526924,73.4286966,0.507055026084064,0.814498602485874
"UKR","Ukraine",5.91,133,6.05,127,5.93450704225352,2.26338028169014,2.83450704225352,4.57464788732394,-1.17217491926523,-2.32011052862456,-1.14261170919584,-1.50599076473187,48.28192771,-0.403465793962821,-1.23139226672004
"URY","Uruguay",7.14,69,7.292,49,7.59938837920489,3.03058103975535,3.18450560652395,6.64322120285423,0.953133671331276,0.448915365836249,0.170915989025329,0.857225211996329,62.01905805,0.0939318334214956,0.12884868956281
"USA","United States",7.81,13,7.8,12,7.44383810823101,3.06639381537062,3.26330150068213,6.3055934515689,0.754565569309206,0.578172932371094,0.466633172033236,0.471506567153529,56.82160662,-0.0942588545710029,0.86979295030225
"ZAF","South Africa",6.87,84,7.02,71,6.67000859352621,3.25121741621312,3.12747063878545,6.17960469779433,-0.233268505562932,1.24524909367601,-0.0431334887142192,0.327572275063039,62.68072289,0.11788956792601,-0.169740788645621
